Year,Country,EPU
1996,GEPU_current,
1997,GEPU_current,77.4194464766667
1998,GEPU_current,99.0232900875
1999,GEPU_current,70.4002161966667
2000,GEPU_current,73.7834048708333
2001,GEPU_current,112.749133338333
2002,GEPU_current,101.922938430833
2003,GEPU_current,100.84772001
2004,GEPU_current,76.98895026
2005,GEPU_current,65.250117125
2006,GEPU_current,62.6765253616667
2007,GEPU_current,69.8200931775
2008,GEPU_current,121.319966420833
2009,GEPU_current,110.8760399375
2010,GEPU_current,124.089254958333
2011,GEPU_current,146.172713098333
2012,GEPU_current,153.706043066667
2013,GEPU_current,127.287624461667
2014,GEPU_current,105.9534992175
2015,GEPU_current,120.77224675
2016,GEPU_current,176.5098792
2017,GEPU_current,175.645510325
2018,GEPU_current,189.615604966667
2019,GEPU_current,256.039653066667
2020,GEPU_current,318.419727025
2021,GEPU_current,214.790072491667
2022,GEPU_current,278.927641716667
1996,GEPU_ppp,
1997,GEPU_ppp,75.9558143425
1998,GEPU_ppp,94.5358830758333
1999,GEPU_ppp,68.884127175
2000,GEPU_ppp,70.6029795725
2001,GEPU_ppp,107.7630230825
2002,GEPU_ppp,100.09557069
2003,GEPU_ppp,96.8600163016667
2004,GEPU_ppp,77.3538960041667
2005,GEPU_ppp,65.97521282
2006,GEPU_ppp,64.3326462533333
2007,GEPU_ppp,69.9698245791667
2008,GEPU_ppp,125.1443034275
2009,GEPU_ppp,112.5427039825
2010,GEPU_ppp,120.855295099167
2011,GEPU_ppp,146.984510399167
2012,GEPU_ppp,157.899854625
2013,GEPU_ppp,126.817339784167
2014,GEPU_ppp,108.716086618333
2015,GEPU_ppp,122.243944758333
2016,GEPU_ppp,176.311789983333
2017,GEPU_ppp,180.06912325
2018,GEPU_ppp,193.95012545
2019,GEPU_ppp,268.153781533333
2020,GEPU_ppp,326.2220809
2021,GEPU_ppp,220.354285258333
2022,GEPU_ppp,288.866235283333
1996,AUS,
1997,AUS,85.8285845216667
1998,AUS,111.052365949167
1999,AUS,57.065344695
2000,AUS,72.2672634291667
2001,AUS,120.9645577625
2002,AUS,84.1925191141667
2003,AUS,107.534624266667
2004,AUS,57.4939483683333
2005,AUS,43.0371139825
2006,AUS,46.3900914825
2007,AUS,53.3628777166667
2008,AUS,152.111377096667
2009,AUS,105.729238806667
2010,AUS,148.767025138333
2011,AUS,173.523319665
2012,AUS,166.508332508333
2013,AUS,122.751894525
2014,AUS,76.8656733358333
2015,AUS,90.402320055
2016,AUS,130.621369288333
2017,AUS,82.6657516591667
2018,AUS,80.75509858
2019,AUS,128.535416793333
2020,AUS,182.276060983333
2021,AUS,106.147550409167
2022,AUS,156.00923455
1996,BRA,52.8699944016667
1997,BRA,64.2213079908333
1998,BRA,81.38451077
1999,BRA,79.9786281675
2000,BRA,91.0985808225
2001,BRA,106.43292611
2002,BRA,123.669850513333
2003,BRA,107.994178795833
2004,BRA,115.885794410833
2005,BRA,120.291108295
2006,BRA,96.7511026016667
2007,BRA,113.580533169167
2008,BRA,174.038622833333
2009,BRA,131.447046484167
2010,BRA,92.7765529341667
2011,BRA,133.884858194167
2012,BRA,117.5301905925
2013,BRA,137.8887406025
2014,BRA,148.634723280833
2015,BRA,249.816768983333
2016,BRA,308.932367016667
2017,BRA,346.490037116667
2018,BRA,165.0882777225
2019,BRA,158.080665691667
2020,BRA,255.4915945
2021,BRA,188.61544309
2022,BRA,195.776664883333
1996,CAN,135.358671818333
1997,CAN,79.721896305
1998,CAN,125.2432885
1999,CAN,57.04755012
2000,CAN,53.3663362691667
2001,CAN,120.139598685833
2002,CAN,106.340471373333
2003,CAN,110.9560661675
2004,CAN,68.0016923358333
2005,CAN,64.6837598891667
2006,CAN,62.55352216
2007,CAN,67.613704045
2008,CAN,155.20076908
2009,CAN,131.819962255833
2010,CAN,148.513099105833
2011,CAN,232.401417391667
2012,CAN,225.379193866667
2013,CAN,180.977739675
2014,CAN,151.811471025
2015,CAN,187.911318566667
2016,CAN,232.739768466667
2017,CAN,243.620082791667
2018,CAN,331.682166083333
2019,CAN,333.364576991667
2020,CAN,464.243382291667
2021,CAN,277.162266283333
2022,CAN,277.911000583333
1996,CHL,68.77628867
1997,CHL,92.7795470508333
1998,CHL,140.1006005575
1999,CHL,119.621263508333
2000,CHL,120.18750063
2001,CHL,150.630854925
2002,CHL,140.8859418375
2003,CHL,111.2238820375
2004,CHL,76.4564119958333
2005,CHL,63.3558928166667
2006,CHL,70.7299340558333
2007,CHL,61.0230223375
2008,CHL,103.538988740833
2009,CHL,71.7177492783333
2010,CHL,71.2110646541667
2011,CHL,97.1491018966667
2012,CHL,99.4403642
2013,CHL,99.8415972433333
2014,CHL,154.164598461667
2015,CHL,150.536739988333
2016,CHL,140.449340185833
2017,CHL,120.340855915833
2018,CHL,106.3369566675
2019,CHL,170.535104744167
2020,CHL,260.624470666667
2021,CHL,304.940491991667
2022,CHL,337.515694933333
1996,Hybrid CHN,
1997,Hybrid CHN,57.1187605283333
1998,Hybrid CHN,60.7344567816667
1999,Hybrid CHN,67.4406297666667
2000,Hybrid CHN,48.7429177326667
2001,Hybrid CHN,105.345592318333
2002,Hybrid CHN,104.973758258333
2003,Hybrid CHN,86.6780937425
2004,Hybrid CHN,70.8695240241667
2005,Hybrid CHN,62.9683052583333
2006,Hybrid CHN,70.5930949241667
2007,Hybrid CHN,69.5654626525
2008,Hybrid CHN,147.9399105125
2009,Hybrid CHN,137.163063303333
2010,Hybrid CHN,117.117434473333
2011,Hybrid CHN,158.346183651667
2012,Hybrid CHN,189.705826825
2013,Hybrid CHN,120.550462365
2014,Hybrid CHN,117.658521705833
2015,Hybrid CHN,140.641809593333
2016,Hybrid CHN,245.720960608333
2017,Hybrid CHN,296.7691887
2018,Hybrid CHN,386.4130896
2019,Hybrid CHN,588.373305175
2020,Hybrid CHN,587.102137508333
2021,Hybrid CHN,409.257111575
2022,Hybrid CHN,523.316078283333
1996,COL,
1997,COL,88.1435993025
1998,COL,118.39915397
1999,COL,97.1400314466667
2000,COL,122.217676178333
2001,COL,116.973416001667
2002,COL,113.53901202
2003,COL,96.94483209
2004,COL,67.7765788566667
2005,COL,72.42669982
2006,COL,84.2046493625
2007,COL,66.2720575483333
2008,COL,103.359480156667
2009,COL,110.396107475833
2010,COL,84.8679522191667
2011,COL,98.7782027525
2012,COL,87.59502642
2013,COL,79.2095054025
2014,COL,90.2831669125
2015,COL,125.9325401675
2016,COL,147.658581461667
2017,COL,137.337654241667
2018,COL,120.649908135
2019,COL,151.064798258333
2020,COL,227.061770691667
2021,COL,123.079125495
2022,COL,145.720812533333
1996,FRA,74.6353336966667
1997,FRA,72.2220568258333
1998,FRA,59.4870767808333
1999,FRA,38.2122582525
2000,FRA,37.6033428816667
2001,FRA,65.8393248175
2002,FRA,118.192661940833
2003,FRA,122.707156794167
2004,FRA,126.985179974167
2005,FRA,99.3691068516667
2006,FRA,74.5871891433333
2007,FRA,116.190720955
2008,FRA,160.416953769167
2009,FRA,138.675664835833
2010,FRA,207.436671225
2011,FRA,250.129037616667
2012,FRA,279.151016816667
2013,FRA,247.6891157
2014,FRA,191.26749395
2015,FRA,224.390588066667
2016,FRA,309.569314616667
2017,FRA,317.11854155
2018,FRA,250.139677541667
2019,FRA,255.897430441667
2020,FRA,308.753851483333
2021,FRA,250.8150357
2022,FRA,340.50269855
1996,DEU,94.3989550308333
1997,DEU,79.2346035233333
1998,DEU,88.3401921816667
1999,DEU,101.663259043333
2000,DEU,84.7117385658333
2001,DEU,138.852759138333
2002,DEU,103.151145086667
2003,DEU,113.641092375833
2004,DEU,84.9603814216667
2005,DEU,81.3794283508334
2006,DEU,81.3485511325
2007,DEU,87.82219462
2008,DEU,134.7522778625
2009,DEU,111.631794903333
2010,DEU,140.1864234
2011,DEU,191.28518939
2012,DEU,177.682105658333
2013,DEU,148.588751975
2014,DEU,125.194542175
2015,DEU,157.005197873333
2016,DEU,231.436768941667
2017,DEU,177.634438141667
2018,DEU,172.449597016667
2019,DEU,204.551959566667
2020,DEU,322.3636994
2021,DEU,305.422728758333
2022,DEU,669.010245358333
1996,GRC,
1997,GRC,94.9034500833333
1998,GRC,92.6610171183333
1999,GRC,86.5670406858333
2000,GRC,72.9683237333333
2001,GRC,94.4625695141667
2002,GRC,105.809241695833
2003,GRC,112.434547859167
2004,GRC,98.9123246308333
2005,GRC,86.8511334041667
2006,GRC,71.1943498333333
2007,GRC,75.2194183
2008,GRC,102.830023095833
2009,GRC,96.0171914125
2010,GRC,118.475447965
2011,GRC,116.5996568975
2012,GRC,123.760615883333
2013,GRC,97.3836004483334
2014,GRC,101.210326401667
2015,GRC,130.19850319
2016,GRC,118.269943775
2017,GRC,98.1747242008333
2018,GRC,100.327400063333
2019,GRC,79.3267831641667
2020,GRC,71.3972898691667
2021,GRC,63.3639709975
2022,GRC,58.532069925
1996,IND,
1997,IND,105.847184454167
1998,IND,143.0743174325
1999,IND,72.5736115575
2000,IND,71.557240125
2001,IND,107.729182285833
2002,IND,98.7176861908333
2003,IND,63.2025329116667
2004,IND,74.7405579625
2005,IND,51.7824500666667
2006,IND,49.4825744691667
2007,IND,52.8730958641667
2008,IND,141.7768246175
2009,IND,108.936623775833
2010,IND,108.77500225
2011,IND,162.9657227275
2012,IND,185.464615341667
2013,IND,133.101270728333
2014,IND,96.6791922758333
2015,IND,70.8934949266667
2016,IND,73.9753140133333
2017,IND,72.7428750758334
2018,IND,57.02824502
2019,IND,73.0938906483333
2020,IND,99.5458256208333
2021,IND,59.7908763316667
2022,IND,81.1512260666667
1996,IRL,63.79799501
1997,IRL,67.4278510158333
1998,IRL,74.8943541116667
1999,IRL,61.1244955666667
2000,IRL,59.3790944575
2001,IRL,68.6171903725
2002,IRL,100.321274195
2003,IRL,108.322016714167
2004,IRL,69.3968436558333
2005,IRL,72.7964817416667
2006,IRL,74.9650317691667
2007,IRL,81.6545605558333
2008,IRL,127.596711609167
2009,IRL,127.0928877375
2010,IRL,148.551768354167
2011,IRL,144.569866555833
2012,IRL,150.283473008333
2013,IRL,157.283314433333
2014,IRL,116.930132023333
2015,IRL,123.166725304167
2016,IRL,193.724211985833
2017,IRL,178.5539310975
2018,IRL,155.178893628333
2019,IRL,152.229671378333
2020,IRL,263.54041105
2021,IRL,234.696539025
2022,IRL,319.529824108333
1996,ITA,
1997,ITA,126.6030766375
1998,ITA,111.608369218333
1999,ITA,84.57724106
2000,ITA,84.0517150683333
2001,ITA,114.86337517
2002,ITA,135.215856951667
2003,ITA,106.6630986675
2004,ITA,106.137168978333
2005,ITA,88.5670977225
2006,ITA,69.3355965475
2007,ITA,60.1406380016667
2008,ITA,85.53144311
2009,ITA,104.6585157025
2010,ITA,122.04680722
2011,ITA,142.661325413333
2012,ITA,137.047908115
2013,ITA,163.675515691667
2014,ITA,116.820401486667
2015,ITA,106.1222446125
2016,ITA,129.3141490425
2017,ITA,78.2164237041667
2018,ITA,114.6300318025
2019,ITA,125.669907226667
2020,ITA,173.075027075
2021,ITA,113.715930411667
2022,ITA,121.598692415
1996,JPN,82.9234317583333
1997,JPN,121.228997338333
1998,JPN,184.156272491667
1999,JPN,101.0055982
2000,JPN,91.55108958
2001,JPN,124.4663451825
2002,JPN,109.560261429167
2003,JPN,95.1090298675
2004,JPN,71.82662942
2005,JPN,67.2288511866667
2006,JPN,64.8966644508333
2007,JPN,81.0728092483333
2008,JPN,129.431754369167
2009,JPN,128.9544547
2010,JPN,126.808401935833
2011,JPN,137.757486558333
2012,JPN,126.855432983333
2013,JPN,99.182493865
2014,JPN,97.068218575
2015,JPN,94.1950386325
2016,JPN,145.583273015
2017,JPN,98.2250621358333
2018,JPN,97.3399011941667
2019,JPN,126.973034508333
2020,JPN,140.3693461525
2021,JPN,94.8848831133333
2022,JPN,110.1581065925
1996,KOR,50.1989356675
1997,KOR,71.7464392941667
1998,KOR,78.2422176975
1999,KOR,51.096239885
2000,KOR,91.8388640175
2001,KOR,119.362738289167
2002,KOR,109.4006115525
2003,KOR,165.822952916667
2004,KOR,131.554228453333
2005,KOR,68.6396007583333
2006,KOR,90.7407429991667
2007,KOR,82.56945769
2008,KOR,140.70764097
2009,KOR,147.083365741667
2010,KOR,148.724538166667
2011,KOR,167.025594720833
2012,KOR,163.274972283333
2013,KOR,130.60922368
2014,KOR,81.8815139158333
2015,KOR,128.24691964
2016,KOR,188.809489966667
2017,KOR,160.771507128333
2018,KOR,145.203710174167
2019,KOR,257.361506366667
2020,KOR,203.885311625
2021,KOR,175.748593641667
2022,KOR,268.9412761
1996,NLD,
1997,NLD,102.277668396667
1998,NLD,125.605125258333
1999,NLD,78.6088752691667
2000,NLD,82.4321564675
2001,NLD,114.2214630625
2002,NLD,108.336041340833
2003,NLD,97.5442406833333
2004,NLD,69.0453831083334
2005,NLD,72.4887991733333
2006,NLD,60.4611226225
2007,NLD,48.7247256683333
2008,NLD,101.971603265833
2009,NLD,131.130965426667
2010,NLD,124.12537298
2011,NLD,123.5526623275
2012,NLD,133.238869529167
2013,NLD,142.868363383333
2014,NLD,95.057381645
2015,NLD,84.4570183016667
2016,NLD,82.8978687408333
2017,NLD,74.262443735
2018,NLD,65.4733377408333
2019,NLD,88.4502082133333
2020,NLD,131.331073518333
2021,NLD,105.950793715833
2022,NLD,100.723365978333
1996,RUS,231.064122525
1997,RUS,88.14544962
1998,RUS,63.0910206083333
1999,RUS,67.6403159416667
2000,RUS,58.03911457
2001,RUS,56.4638509883333
2002,RUS,61.0094471708333
2003,RUS,78.6562902058333
2004,RUS,81.7027586058334
2005,RUS,91.402115655
2006,RUS,101.2296444325
2007,RUS,93.6095141933333
2008,RUS,121.612354395833
2009,RUS,88.6538377025
2010,RUS,111.6195064625
2011,RUS,140.7317260375
2012,RUS,145.520763785
2013,RUS,169.230323268333
2014,RUS,232.698630733333
2015,RUS,206.314322269167
2016,RUS,183.741433834167
2017,RUS,215.553690983333
2018,RUS,197.514115359167
2019,RUS,284.116800491667
2020,RUS,490.728931575
2021,RUS,333.509322958333
2022,RUS,577.142116208333
1996,ESP,
1997,ESP,62.636508625
1998,ESP,64.0795040116667
1999,ESP,57.6267919541667
2000,ESP,70.9250679016667
2001,ESP,86.30473264
2002,ESP,85.3679974883333
2003,ESP,95.90610313
2004,ESP,82.5826237983333
2005,ESP,76.34061972
2006,ESP,77.3562024433333
2007,ESP,79.7060410158333
2008,ESP,100.208363853333
2009,ESP,98.9371662175
2010,ESP,119.054450990833
2011,ESP,140.684178033333
2012,ESP,178.043355316667
2013,ESP,134.213879916667
2014,ESP,124.69510525
2015,ESP,128.434703825
2016,ESP,119.888570141667
2017,ESP,109.659124376667
2018,ESP,115.634517671667
2019,ESP,136.959501275
2020,ESP,196.719155616667
2021,ESP,143.970907216667
2022,ESP,156.403645825
1996,SGP,
1997,SGP,
1998,SGP,
1999,SGP,
2000,SGP,
2001,SGP,
2002,SGP,
2003,SGP,99.9144221725
2004,SGP,76.0218398533333
2005,SGP,62.2009122316667
2006,SGP,62.5883389383333
2007,SGP,68.1262764933333
2008,SGP,128.234463645833
2009,SGP,117.6479759
2010,SGP,126.241978958333
2011,SGP,149.374096688333
2012,SGP,159.278830241667
2013,SGP,123.199177501667
2014,SGP,98.4300032125
2015,SGP,115.315852913333
2016,SGP,179.395131758333
2017,SGP,177.6567753
2018,SGP,201.715627158333
2019,SGP,277.156896325
2020,SGP,316.553662433333
2021,SGP,217.145738983333
2022,SGP,288.421024591667
1996,GBR,
1997,GBR,66.4673718091667
1998,GBR,86.535702795
1999,GBR,54.0388327791667
2000,GBR,47.8443941125
2001,GBR,91.3780040233333
2002,GBR,92.9190127383333
2003,GBR,134.735577676667
2004,GBR,82.077179735
2005,GBR,73.5129555258333
2006,GBR,74.2159615933333
2007,GBR,70.1118174783333
2008,GBR,154.917785608333
2009,GBR,139.374787310833
2010,GBR,231.870616791667
2011,GBR,227.596939633333
2012,GBR,305.4302122
2013,GBR,222.401923233333
2014,GBR,181.586883108333
2015,GBR,204.458848758333
2016,GBR,542.765561708333
2017,GBR,475.84402845
2018,GBR,368.134808366667
2019,GBR,430.903170775
2020,GBR,307.048728308333
2021,GBR,185.34849275
2022,GBR,294.053585575
1996,USA,75.8333609908333
1997,USA,78.5069793933333
1998,USA,108.1890656775
1999,USA,79.7389149158333
2000,USA,96.5534565316667
2001,USA,152.18503884
2002,USA,128.646792891667
2003,USA,127.8521580375
2004,USA,90.600456755
2005,USA,70.8735106275
2006,USA,67.136286645
2007,USA,79.7098087541667
2008,USA,139.382629256667
2009,USA,125.8881432775
2010,USA,147.645633775
2011,USA,157.352081666667
2012,USA,157.976925781667
2013,USA,137.96055365
2014,USA,92.4671566316667
2015,USA,112.941398623333
2016,USA,145.1282442275
2017,USA,142.3956544
2018,USA,153.1932409
2019,USA,188.695714475
2020,USA,326.320120433333
2021,USA,175.252731775
2022,USA,184.359070666667
1996,SCMP CHN,
1997,SCMP CHN,65.2644117516667
1998,SCMP CHN,69.3957389625
1999,SCMP CHN,77.0582727908333
2000,SCMP CHN,55.6874153445833
2001,SCMP CHN,129.160571305
2002,SCMP CHN,124.356311301667
2003,SCMP CHN,106.595896448333
2004,SCMP CHN,83.5513808625
2005,SCMP CHN,64.9618836083333
2006,SCMP CHN,73.2737515441667
2007,SCMP CHN,82.2452193383333
2008,SCMP CHN,179.040524641667
2009,SCMP CHN,127.6239198875
2010,SCMP CHN,98.8881721958333
2011,SCMP CHN,170.6363516925
2012,SCMP CHN,244.398295033333
2013,SCMP CHN,113.897361158333
2014,SCMP CHN,123.634880611667
2015,SCMP CHN,181.286651608333
2016,SCMP CHN,364.832787333333
2017,SCMP CHN,363.873982075
2018,SCMP CHN,460.469809875
2019,SCMP CHN,791.873747741667
2020,SCMP CHN,747.855783
2021,SCMP CHN,508.89471965
2022,SCMP CHN,716.923569258333
1996,Mainland CHN,
1997,Mainland CHN,105.601840169167
1998,Mainland CHN,193.159064865
1999,Mainland CHN,236.71758945
2000,Mainland CHN,35.5664981791667
2001,Mainland CHN,43.69204509
2002,Mainland CHN,53.5124662541667
2003,Mainland CHN,60.1441732525
2004,Mainland CHN,51.5438698808333
2005,Mainland CHN,51.8946068616667
2006,Mainland CHN,57.8854840575
2007,Mainland CHN,50.4433799266667
2008,Mainland CHN,104.555512844167
2009,Mainland CHN,122.1677632975
2010,Mainland CHN,110.943374468333
2011,Mainland CHN,125.715055226667
2012,Mainland CHN,124.335536709167
2013,Mainland CHN,106.233496781667
2014,Mainland CHN,95.4868369716667
2015,Mainland CHN,92.1142078066667
2016,Mainland CHN,129.313867891667
2017,Mainland CHN,206.6387024
2018,Mainland CHN,277.813122083333
2019,Mainland CHN,363.358617375
2020,Mainland CHN,390.387972075
2021,Mainland CHN,280.29736365
2022,Mainland CHN,314.892329533333
1996,SWE,105.682157469167
1997,SWE,106.243881055
1998,SWE,111.875204303333
1999,SWE,97.217425955
2000,SWE,76.2097500633333
2001,SWE,81.2327842408333
2002,SWE,87.861589475
2003,SWE,86.4802671
2004,SWE,75.352307965
2005,SWE,65.2168042991667
2006,SWE,79.2608424475
2007,SWE,68.4000238833333
2008,SWE,94.1413005383333
2009,SWE,82.6131538466667
2010,SWE,89.126253355
2011,SWE,105.664432298333
2012,SWE,98.3893538508333
2013,SWE,95.9776458991667
2014,SWE,107.31771613
2015,SWE,103.53091969
2016,SWE,107.980807628333
2017,SWE,100.579097679167
2018,SWE,111.01773215
2019,SWE,104.525053225
2020,SWE,115.801087871667
2021,SWE,101.5892334625
2022,SWE,123.95248185
1996,MEX,130.733857789167
1997,MEX,131.841110175833
1998,MEX,226.626676875
1999,MEX,152.895120865833
2000,MEX,128.894065715
2001,MEX,165.555102569167
2002,MEX,160.086323775
2003,MEX,202.307802828333
2004,MEX,93.7979653583333
2005,MEX,80.777991365
2006,MEX,61.6043897591667
2007,MEX,60.3150475634167
2008,MEX,81.3923693283333
2009,MEX,78.7253586591667
2010,MEX,70.2674352908333
2011,MEX,66.6106306716667
2012,MEX,53.977195115
2013,MEX,44.3993133266667
2014,MEX,27.0009143175
2015,MEX,32.503436105
2016,MEX,49.6878921491667
2017,MEX,64.6760682525
2018,MEX,68.8537205933333
2019,MEX,94.0037485658333
2020,MEX,93.49534778
2021,MEX,71.7360260616667
2022,MEX,73.9822640625
